DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
176780,176780,Mk10,00:39:52 13-Aug-2019,Argos,1,21.6850,134.2766,1381,13284,143,96,,,,,,
176780,176780,Mk10,01:20:35 13-Aug-2019,Argos,B,21.6968,134.2671,4443,5883,3354,100,,,,,,
176780,176780,Mk10,07:14:42 13-Aug-2019,Argos,A,21.7177,134.2725,2395,8493,675,101,,,,,,
176780,176780,Mk10,08:17:33 13-Aug-2019,Argos,B,21.7787,134.1063,2785,10089,768,43,,,,,,
176780,176780,Mk10,08:59:03 13-Aug-2019,Argos,B,21.7680,134.0495,2392,27794,205,132,,,,,,
176780,176780,Mk10,08:59:51 13-Aug-2019,Argos,A,21.7526,134.0675,443,767,255,160,,,,,,
176780,176780,Mk10,09:53:35 13-Aug-2019,Argos,1,21.7726,134.0419,626,4434,88,82,,,,,,
176780,176780,Mk10,10:09:09 13-Aug-2019,Argos,A,21.7722,134.0450,2289,2509,2087,55,,,,,,
176780,176780,Mk10,10:52:15 13-Aug-2019,Argos,A,21.7946,134.0169,1274,3517,461,148,,,,,,
176780,176780,Mk10,10:58:49 13-Aug-2019,Argos,B,21.7966,134.0173,1775,3087,1020,146,,,,,,
176780,176780,Mk10,11:22:05 13-Aug-2019,Argos,B,21.7947,134.0162,2825,5961,1338,84,,,,,,
176780,176780,Mk10,11:45:22 13-Aug-2019,Argos,A,21.7928,134.0110,4777,9406,2425,87,,,,,,
176780,176780,Mk10,12:27:12 13-Aug-2019,Argos,B,21.8112,133.9700,4535,25141,818,58,,,,,,
176780,176780,Mk10,12:41:35 13-Aug-2019,Argos,B,21.8085,133.9690,2401,6720,857,60,,,,,,
176780,176780,Mk10,20:07:52 13-Aug-2019,Argos,1,21.9851,133.7991,1307,3639,469,173,,,,,,
176780,176780,Mk10,21:46:35 13-Aug-2019,Argos,B,22.0005,133.8128,3771,4841,2937,122,,,,,,
176780,176780,Mk10,22:21:57 13-Aug-2019,Argos,B,22.0206,133.7788,4832,40331,578,129,,,,,,
176780,176780,Mk10,23:22:23 13-Aug-2019,Argos,B,22.0540,133.7355,4626,11672,1833,130,,,,,,
176780,176780,Mk10,23:38:40 13-Aug-2019,Argos,B,22.0453,133.7430,2659,8497,831,127,,,,,,
176780,176780,Mk10,00:15:44 14-Aug-2019,Argos,A,22.0484,133.6666,755,21493,26,100,,,,,,
176780,176780,Mk10,00:56:39 14-Aug-2019,Argos,B,22.0578,133.6366,1545,12786,186,114,,,,,,
176780,176780,Mk10,07:07:08 14-Aug-2019,Argos,A,22.0539,133.5762,164,319,84,62,,,,,,
176780,176780,Mk10,08:28:26 14-Aug-2019,Argos,B,22.0718,133.5134,1179,1427,973,79,,,,,,
176780,176780,Mk10,08:47:47 14-Aug-2019,Argos,B,22.0739,133.5171,2052,6591,638,84,,,,,,
176780,176780,Mk10,09:31:09 14-Aug-2019,Argos,B,22.0824,133.4899,2081,4567,947,84,,,,,,
176780,176780,Mk10,10:30:28 14-Aug-2019,Argos,B,22.0912,133.4589,2599,5185,1302,90,,,,,,
176780,176780,Mk10,10:57:32 14-Aug-2019,Argos,B,22.0860,133.4802,2977,6357,1394,102,,,,,,
176780,176780,Mk10,11:16:05 14-Aug-2019,Argos,B,22.0920,133.4707,1395,12803,151,172,,,,,,
176780,176780,Mk10,11:25:45 14-Aug-2019,Argos,A,22.0955,133.4713,793,1113,564,121,,,,,,
176780,176780,Mk10,12:06:59 14-Aug-2019,Argos,B,22.1112,133.4368,1882,2804,1263,101,,,,,,
176780,176780,Mk10,12:37:32 14-Aug-2019,Argos,0,22.1263,133.4131,2381,17666,320,84,,,,,,
176780,176780,Mk10,12:39:36 14-Aug-2019,Argos,B,22.1263,133.4135,1952,8556,445,84,,,,,,
