Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
131996,02-Jul-2016,06:39:26,1,101.000000,230,397,0,8,13.43400,144.62601,19:57:27 01-Jul-2016,R,13.43427,144.63161,54,,,10.8,2.1,,,,15,1,11976,,,,7,14204,,,,11,1628,,,,23,28076,,,,3,5376,,,,8,25802,,,,22,26669,,,,30,4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,06-Jul-2016,02:48:58,1,102.000000,244,428,0,6,13.43489,144.63091,15:40:58.540781 06-Jul-2016,FastGPS,13.43420,144.63193,54,,,3.7,1.5,,,,15,27,2850,,,,23,25432,,,,26,3697,,,,11,14072,,,,8,18463,,,,9,20512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,06-Jul-2016,15:39:15,2,102.000000,246,430,0,6,13.43525,144.63057,03:48:59.437031 07-Jul-2016,FastGPS,13.43489,144.63091,54,,,16.3,1.5,,,,15,5,14708,,,,24,30767,,,,20,4496,,,,15,15384,,,,29,26137,,,,2,6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,06-Jul-2016,21:45:57,1,102.000000,247,430,0,8,13.43489,144.63091,15:40:58.540781 06-Jul-2016,FastGPS,13.43468,144.63133,54,1,,9.2,1.6,,,,15,10,7362,,,,32,16628,,,,26,1218,,,,4,26474,,,,14,562,,,,21,5487,,,,25,27968,,,,18,21278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,07-Jul-2016,03:47:16,1,102.000000,248,430,0,4,13.43475,144.63072,16:12:33.212031 07-Jul-2016,FastGPS,13.43525,144.63057,54,,,2.5,1.4,,,,15,16,4878,,,,26,7480,,,,1,15425,,,,4,9510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,07-Jul-2016,16:10:49,1,102.000000,250,430,0,4,13.42900,144.62399,12:05:15 08-Jul-2016,A,13.43475,144.63072,54,,,1.9,2.2,,,,15,5,22678,,,,15,15103,,,,20,8932,,,,2,32318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,11-Jul-2016,10:07:00,1,102.000000,264,449,0,6,13.43483,144.63045,16:25:54.057500 11-Jul-2016,FastGPS,13.43467,144.63100,54,,,6.6,2.1,,,,15,19,13609,,,,17,32226,,,,9,1162,,,,28,23570,,,,23,7111,,,,7,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,11-Jul-2016,16:24:10,1,102.000000,265,450,0,4,13.43900,144.64301,11:38:09 12-Jul-2016,B,13.43483,144.63045,54,,,1.7,2.1,,,,15,15,16940,,,,21,15650,,,,5,2076,,,,20,14964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,11-Jul-2016,22:34:45,1,102.000000,266,450,0,8,13.43467,144.63100,10:08:44.120312 11-Jul-2016,FastGPS,13.43425,144.63074,54,1,,13.6,2.2,,,,15,32,20686,,,,4,13744,,,,31,13619,,,,26,15060,,,,10,15984,,,,16,10072,,,,29,7224,,,,14,16410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,12-Jul-2016,19:37:52,1,102.000000,269,458,0,6,13.43512,144.63087,14:04:44.298750 13-Jul-2016,FastGPS,13.43479,144.63055,54,,,8.5,2.2,,,,15,25,5837,,,,18,31338,,,,29,23771,,,,10,13189,,,,20,30624,,,,15,8114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
