DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
131996,131996,Mk10,00:46:35 15-Jun-2016,,,B,13.4360,144.6260,CRC 25366.46282,09:00:00 25-Jun-2015,DiveDepth,54,49,109,178,148,176,153,54,210,70,108,245,110,247,141,,,,,,,,,,,,,,,,,
131996,131996,Mk10,09:06:28 15-Jun-2016,,,B,13.4210,144.6300,CRC 28673.28691,12:00:00 08-Jun-2016,TAD,23,0,17,144,197,1,6,193,132,114,0,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,09:38:19 15-Jun-2016,,,B,13.4240,144.6300,CRC 56314.50687,12:59:04 08-Jun-2016,Fast-GPS,125,191,161,144,199,177,22,9,182,77,153,153,153,153,153,147,38,168,177,86,228,236,216,,,,,,,,,
131996,131996,Mk10,10:55:58 15-Jun-2016,,,B,13.4400,144.6300,CRC 11314.8054,00:00:00 08-Jun-2016,TAD,18,195,33,144,9,1,13,7,169,106,136,1,1,0,128,,,,,,,,,,,,,,,,,
131996,131996,Mk10,20:26:37 15-Jun-2016,,,B,13.4350,144.6410,CRC 41643.48189,06:00:00 13-Jun-2016,DiveDepth,58,42,177,154,96,70,211,34,82,0,0,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,23:35:44 15-Jun-2016,,,B,13.4340,144.6430,CRC 62623.55060,12:38:41 11-Jun-2016,Fast-GPS,127,73,241,150,198,106,80,218,27,34,252,173,45,133,38,124,217,173,210,41,220,4,3,,,,,,,,,
131996,131996,Mk10,00:24:25 16-Jun-2016,,,B,13.4340,144.6390,CRC 48777.60664,00:00:00 12-Jun-2016,DiveDepth,59,232,145,152,0,76,140,12,60,11,161,195,207,56,88,,,,,,,,,,,,,,,,,
131996,131996,Mk10,08:34:47 16-Jun-2016,,,B,13.4220,144.5650,CRC 924.1052,18:00:00 09-Jun-2016,DiveDuration,64,57,193,147,32,110,130,6,8,8,32,0,0,128,10,,,,,,,,,,,,,,,,,
131996,131996,Mk10,10:07:59 16-Jun-2016,,,B,13.4270,144.5680,CRC 36610.6535,12:00:00 09-Jun-2016,TAD,24,240,33,146,197,4,134,193,95,252,128,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,11:20:04 16-Jun-2016,,,B,13.4370,144.5820,CRC 23261.50679,21:32:17 14-Feb-2016,Fast-GPS,117,173,208,157,86,4,98,68,180,50,194,73,82,208,59,163,113,244,149,64,46,225,146,76,0,43,125,129,18,133,126,
