DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
152569,152569,,Mk10,12:00:00 09-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 09-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,06:00:00 11-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,12:00:00 12-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,18:00:00 15-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 16-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,18:00:00 16-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 20-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 21-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 22-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 23-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 23-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,12:00:00 24-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 24-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,06:00:00 25-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 26-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 28-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 29-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 29-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 31-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 02-Apr-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,18:00:00 02-Apr-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 04-Apr-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 09-Apr-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 16-Apr-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 17-Apr-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 21-Apr-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 26-Apr-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 26-Apr-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 04-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 06-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 07-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 08-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 13-Jun-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,18:00:00 16-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 23-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 23-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 25-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 26-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 26-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 29-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 30-Jun-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 07-Jul-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 07-Jul-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 12-Jul-2016,,,,0.000000,0.000000,Fast-GPS,,,
